,Name,Fn_Fix,Ln_Fix,new_town,county,new_state,country,name_type,Name_Fix
0,Samuel W Pomeroy,Samuel W,Pomeroy,Hartford,Hartford County,CT,US,town,Samuel W Pomeroy
1,Benjamin Trumbull,Benjamin,Trumbull,Bolton,Tolland County,CT,US,town,Benjamin Trumbull
2,Richard Green,Richard,Green,,,RI,US,state,Richard Green
3,Thomas Hopkins,Thomas,Hopkins,Hartford,Hartford County,CT,US,town,Thomas Hopkins
4,John Morgan,John,Morgan,Hartford,Hartford County,CT,US,town,John Morgan
5,John Lewis,John,Lewis,Wethersfield,Hartford County,CT,US,town,John Lewis
6,John Parsons,John,Parsons,East Lyme,New London County,CT,US,town,John Parsons
7,Marshfield Parsons,Marshfield,Parsons,East Lyme,New London County,CT,US,town,Marshfield Parsons
8,Francis Brown,Francis,Brown,New Haven,New Haven County,CT,US,town,Francis Brown
9,Joseph Woodruff | Joseph Woodruffe,Joseph,Woodruff,Farmington,Hartford County,CT,US,town,Joseph Woodruff | Joseph Woodruffe
9,Joseph Woodruff | Joseph Woodruffe,Joseph,Woodruffe,Farmington,Hartford County,CT,US,town,Joseph Woodruff | Joseph Woodruffe
10,Thomas Shaw,Thomas,Shaw,New London,New London County,CT,US,town,Thomas Shaw
11,Samuel Wheat,Samuel,Wheat,New London,New London County,CT,US,town,Samuel Wheat
12,Peleg Sanford,Peleg,Sanford,Hartford,Hartford County,CT,US,town,Peleg Sanford
13,William Stewart,William,Stewart,New London,New London County,CT,US,town,William Stewart
14,Heman Swift,Heman,Swift,Cornwall,Litchfield County,CT,US,town,Heman Swift
15,Richard Law,Richard,Law,New London,New London County,CT,US,town,Richard Law
16,Elisha Hinman,Elisha,Hinman,New London,New London County,CT,US,town,Elisha Hinman
17,Bathsheba Perow,Bathsheba,Perow,New London,New London County,CT,US,town,Bathsheba Perow
18,John and James Davenport,James,Davenport,Stamford,Fairfield County,CT,US,town,James Davenport | John Davenport
18,John and James Davenport,John,Davenport,Stamford,Fairfield County,CT,US,town,James Davenport | John Davenport
19,Allen Olcott,Allen,Olcott,Farmington,Hartford County,CT,US,town,Allen Olcott
20,Timothy Burnham,Timothy,Burnham,East Hartford,Hartford County,CT,US,town,Timothy Burnham
21,John Davenport,John,Davenport,Stamford,Fairfield County,CT,US,town,John Davenport
22,Dan Hill,Dan,Hill,Bristol,Hartford County,CT,US,town,Dan Hill
23,Samuel Marsh,Samuel,Marsh,Hartford,Hartford County,CT,US,town,Samuel Marsh
24,Jonathan Trumbull,Jonathan,Trumbull,Lebanon,Windham County,CT,US,town,Jonathan Trumbull
25,Isaac Griswold,Isaac,Griswold,Windsor,Hartford County,CT,US,town,Isaac Griswold
26,Stephen Tallmadge,Stephen,Tallmadge,Southampton,Windham County,CT,US,town,Stephen Tallmadge
27,John Kent,John,Kent,Suffield,Hartford County,CT,US,town,John Kent
28,Richard Douglass,Richard,Douglass,New London,New London County,CT,US,town,Richard Douglass
29,Timothy Green,Timothy,Green,New London,New London County,CT,US,town,Timothy Green
30,David White,David,White,East Hampton,Middlesex County,CT,US,town,David White
31,Joseph White,Joseph,White,East Hampton,Middlesex County,CT,US,town,Joseph White
32,Jedediah Norton,Jedediah,Norton,Berlin,Hartford County,CT,US,town,Jedediah Norton
33,Ebenezer Plummer,Ebenezer,Plummer,Glastonbury,Hartford County,CT,US,town,Ebenezer Plummer
34,John Thomas,John,Thomas,Hartford,Hartford County,CT,US,town,John Thomas
35,Eliphalet Lester,Eliphalet,Lester,Old Saybrook,Middlesex County,CT,US,town,Eliphalet Lester
36,Timothy Peckham,Timothy,Peckham,,,RI,US,state,Timothy Peckham
37,Howard Moulton,Howard,Moulton,Stafford,Tolland County,CT,US,town,Howard Moulton
38,John Sellew,John,Sellew,Glastonbury,Hartford County,CT,US,town,John Sellew
39,Peleg Thomas,Peleg,Thomas,Lebanon,Windham County,CT,US,town,Peleg Thomas
40,Samuel Gilbert,Samuel,Gilbert,Hebron,Tolland County,CT,US,town,Samuel Gilbert
41,Philip Mortimer,Philip,Mortimer,Middletown,Middlesex County,CT,US,town,Philip Mortimer
42,John Payson,John,Payson,,,CT,US,state,John Payson
43,George Starr,George,Starr,Middletown,Middlesex County,CT,US,town,George Starr
44,Jonathan Edwards,Jonathan,Edwards,New Haven,New Haven County,CT,US,town,Jonathan Edwards
45,James A Wells,James A,Wells,Hartford,Hartford County,CT,US,town,James A Wells
46,Erastus Wolcott,Erastus,Wolcott,East Windsor,Hartford County,CT,US,town,Erastus Wolcott
47,Joseph Olmsted,Joseph,Olmsted,East Hartford,Hartford County,CT,US,town,Joseph Olmsted
48,Nathan H Whiting,Nathan H,Whiting,Hartford,Hartford County,CT,US,town,Nathan H Whiting
49,Thomas C Green,Thomas C,Green,New London,New London County,CT,US,town,Thomas C Green
50,John Templeman,John,Templeman,Boston,Suffolk County,MA,US,town,John Templeman
51,Ezekiel Williams,Ezekiel,Williams,Hartford,Hartford County,CT,US,town,Ezekiel Williams
52,Joshua Lathrop,Joshua,Lathrop,Norwich,New London County,CT,US,town,Joshua Lathrop
53,Daniel L Coit | Daniel Lathrop Coit,Daniel L,Coit,Norwich,New London County,CT,US,town,Daniel L Coit | Daniel Lathrop Coit
53,Daniel L Coit | Daniel Lathrop Coit,Daniel Lathrop,Coit,Norwich,New London County,CT,US,town,Daniel L Coit | Daniel Lathrop Coit
54,Jonathan Dwight,Jonathan,Dwight,Springfield,Hampshire County,MA,US,town,Jonathan Dwight
55,John Hall,John,Hall,Hartford,Hartford County,CT,US,town,John Hall
57,John Austin,John,Austin,New Haven,New Haven County,CT,US,town,John Austin
58,Solomon Wells,Solomon,Wells,Wethersfield,Hartford County,CT,US,town,Solomon Wells
59,Enoch Parsons,Enoch,Parsons,Middletown,Middlesex County,CT,US,town,Enoch Parsons
60,Wheeler Coit,Wheeler,Coit,Preston,New London County,CT,US,town,Wheeler Coit
61,Nathan Strong,Nathan,Strong,Hartford,Hartford County,CT,US,town,Nathan Strong
62,Hezekiah Goodwin,Hezekiah,Goodwin,Sharon,Litchfield County,CT,US,town,Hezekiah Goodwin
63,Andrew Fitch,andrew,Fitch,Lebanon,Windham County,CT,US,town,andrew Fitch
64,Jacob Pratt,Jacob,Pratt,Somers,Tolland County,CT,US,town,Jacob Pratt
65,Samuel W Williams,Samuel W,Williams,Wethersfield,Hartford County,CT,US,town,Samuel W Williams
67,Solomon Wadham | Solomon Windham,Solomon,Wadham,Goshen,Litchfield County,CT,US,town,Solomon Wadham | Solomon Windham
67,Solomon Wadham | Solomon Windham,Solomon,Windham,Goshen,Litchfield County,CT,US,town,Solomon Wadham | Solomon Windham
68,Noadiah Hooker,Noadiah,Hooker,Farmington,Hartford County,CT,US,town,Noadiah Hooker
69,Ebenezer Miller,Ebenezer,Miller,Torrington,Litchfield County,CT,US,town,Ebenezer Miller
