row_id,old,new,type,state
0,"{'Milford', 'Miford'}",Milford,town,CT
1,"{'Nowich', 'Norwich'}",Norwich,town,CT
2,"{'Carlisle Pennsylvania', 'Carlisle'}",Carlisle Pennsylvania,town,PA
3,"{'Conecticutt', 'Connecticut'}",Conecticutt,town,PA
4,"{'Newcastle Delaware', 'New Castle Delaware'}",New Castle Delaware,town,PA
5,"{'Philadelphia', 'Philadelphia County'}",Philadelphia County,town,PA
6,"{'State of Delawere', 'State of Delaware'}",State of Delawere,town,PA
7,"{'Connecticutt', 'Connecticut'}",Connecticutt,town,PA
8,"{'Bucks County', 'Bucks County Pennsylvania'}",Bucks County Pennsylvania,town,PA
9,"{'Reading', 'Reading Berks County'}",Reading Berks County,town,PA
10,"{'Reading Pennsylvania', 'Reading Berks County'}",Reading Pennsylvania,town,PA
11,"{'Northumberland', 'Northumb Country'}",Northumb Country,town,PA
12,"{'Philadelphia', 'Lancaster'}",Philadelphia,town,PA
13,"{'Yorktown', 'York Town Pennsylvania'}",York Town Pennsylvania,town,PA
14,"{'Pennsylvania', 'York Town Pennsylvania'}",York Town Pennsylvania,town,PA
15,"{'Allegheny County Pennsylvania', 'Allegan County Pennsylvania'}",Allegheny County Pennsylvania,town,PA
16,"{'The N Lib of Philadelphia', 'Philadelphia'}",The N Lib of Philadelphia,town,PA
17,"{'Berks County Pennsylvania', 'Pennsylvania Berks County'}",Berks County Pennsylvania,town,PA
18,"{'Pennsylvania Montgomery County', 'Montgomery County Pennsylvania'}",Pennsylvania Montgomery County,town,PA
19,"{'Franklin County Pennsylvania', 'Pennsylvania Franklin County'}",Franklin County Pennsylvania,town,PA
20,"{'Dauphin County', 'Dauphin County Pennsylvania'}",Dauphin County Pennsylvania,town,PA
21,"{'Charleston South Carolina', 'Charles Town'}",Charleston South Carolina,town,PA
22,"{'Lancaster Pennsylvania', 'Lancaster'}",Lancaster Pennsylvania,town,PA
23,"{'Pittsburgh Pennsylvania', 'Pittsburgh'}",Pittsburgh Pennsylvania,town,PA
24,"{'Lancaster County Pennsylvania', 'Lancaster County'}",Lancaster County Pennsylvania,town,PA
25,"{'New Jersey', 'Brunswick New Jersey'}",Brunswick New Jersey,town,PA
26,"{'St Eustatia', 'St Eustalia'}",St Eustatia,town,PA
27,"{'Berks County Pennsylvania', 'Berks County'}",Berks County Pennsylvania,town,PA
28,"{'Lancaster County Pennsylvania', 'Lancaster'}",Lancaster County Pennsylvania,town,PA
29,"{'Berks County', 'Bucks County Pennsylvania'}",Bucks County Pennsylvania,town,PA
30,"{'Lancaster County Pennsylvania', 'Lancaster Co'}",Lancaster County Pennsylvania,town,PA
